numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,direction,sheet,year,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,0,
